x,y,z,xm,ym,zm
45.5,41.0,0,3.0,-5.7,100.42999999999999
45.5,41.5,0,3.5999999999999996,-5.85,101.15599999999999
45.5,42.0,0,3.9,-6.0,101.398
45.5,42.5,0,3.9,-6.1499999999999995,101.64
45.5,43.0,0,4.2,-6.1499999999999995,101.64
45.5,43.5,0,4.8,-6.0,102.366
45.5,44.0,0,4.8,-6.3,102.608
45.5,44.5,0,4.6499999999999995,-6.1499999999999995,103.334
45.5,45.0,0,5.25,-6.3,102.85
45.5,45.5,0,5.25,-6.3,103.092
45.5,46.0,0,5.55,-6.75,103.092
45.5,46.5,0,6.0,-6.75,103.334
45.5,47.0,0,6.0,-7.05,103.818
45.5,47.5,0,6.0,-7.35,103.092
45.5,48.0,0,6.3,-7.5,103.092
45.5,48.5,0,6.3,-8.1,104.30199999999999
45.5,49.0,0,6.6,-8.1,104.06
45.5,49.5,0,6.8999999999999995,-8.25,104.30199999999999
45.5,50.0,0,7.05,-8.549999999999999,104.06
45.5,50.5,0,7.199999999999999,-8.7,104.06
45.5,51.0,0,7.5,-8.7,104.30199999999999
45.5,51.5,0,7.6499999999999995,-9.0,105.02799999999999
45.5,52.0,0,7.949999999999999,-9.299999999999999,104.786
45.5,52.5,0,8.4,-10.049999999999999,104.544
45.5,53.0,0,8.85,-10.35,104.544
45.5,53.5,0,8.85,-10.799999999999999,104.544
45.5,54.0,0,8.7,-10.5,105.02799999999999
45.5,54.5,0,9.45,-11.7,105.27
45.5,55.0,0,9.75,-11.85,105.02799999999999
45.5,55.5,0,10.049999999999999,-12.15,105.512
45.5,56.0,0,9.9,-12.299999999999999,105.02799999999999
45.5,56.5,0,10.5,-12.75,105.75399999999999
45.5,57.0,0,10.799999999999999,-13.049999999999999,105.27
45.5,57.5,0,11.25,-13.95,105.75399999999999
45.5,58.0,0,11.549999999999999,-13.95,105.75399999999999
45.5,58.5,0,12.15,-14.399999999999999,105.512
45.5,59.0,0,12.6,-15.299999999999999,106.238
45.5,59.5,0,13.049999999999999,-15.149999999999999,106.238
45.5,60.0,0,13.2,-15.75,105.996
45.5,60.5,0,13.799999999999999,-16.2,106.722
45.5,61.0,0,14.25,-16.349999999999998,106.238
45.5,61.5,0,15.0,-17.099999999999998,106.47999999999999
45.5,62.0,0,15.149999999999999,-17.55,106.238
45.5,62.5,0,15.75,-18.15,106.722
45.5,63.0,0,16.5,-18.45,106.47999999999999
45.5,63.5,0,17.099999999999998,-19.05,106.238
45.5,64.0,0,17.7,-18.9,106.238
45.5,64.5,0,18.3,-19.05,106.722
45.5,65.0,0,18.599999999999998,-19.95,106.964
45.5,65.5,0,19.05,-20.25,107.448
45.5,66.0,0,19.95,-20.4,107.69
45.5,66.5,0,20.7,-20.55,107.69
45.5,67.0,0,21.3,-21.45,107.932
45.5,67.5,0,22.05,-21.45,107.932
45.5,68.0,0,22.349999999999998,-21.599999999999998,108.416
45.5,68.5,0,23.25,-21.75,108.416
45.5,69.0,0,24.3,-22.5,108.658
45.5,69.5,0,24.75,-22.05,108.658
45.5,70.0,0,25.05,-22.349999999999998,109.142
45.5,70.5,0,26.4,-22.65,108.658
45.5,71.0,0,26.849999999999998,-22.8,109.142
45.5,71.5,0,27.0,-22.8,109.62599999999999
45.5,72.0,0,27.9,-23.7,109.384
45.5,72.5,0,28.95,-23.25,109.62599999999999
45.5,73.0,0,29.4,-23.849999999999998,110.11
45.5,73.5,0,29.849999999999998,-23.25,109.142
45.5,74.0,0,30.299999999999997,-24.0,110.11
45.5,74.5,0,31.049999999999997,-24.15,110.352
45.5,75.0,0,31.799999999999997,-24.45,109.868
45.5,75.5,0,32.699999999999996,-24.3,109.868
45.5,76.0,0,33.3,-24.9,110.594
45.5,76.5,0,34.05,-24.599999999999998,110.594
45.5,77.0,0,35.1,-24.75,110.11
45.5,77.5,0,35.55,-24.75,110.11
45.5,78.0,0,36.6,-25.05,110.836
45.5,78.5,0,36.6,-24.75,109.62599999999999
45.5,79.0,0,37.65,-25.349999999999998,110.594
45.5,79.5,0,38.4,-25.65,110.594
45.5,80.0,0,38.55,-25.2,110.594
45.5,80.5,0,39.75,-25.65,110.352
45.5,81.0,0,39.75,-25.349999999999998,110.594
45.5,81.5,0,40.949999999999996,-25.8,110.836
45.5,82.0,0,41.25,-25.2,110.594
45.5,82.5,0,42.3,-25.65,109.868
45.5,83.0,0,42.6,-25.2,110.11
45.5,83.5,0,43.199999999999996,-25.5,109.868
45.5,84.0,0,43.8,-25.5,109.384
45.5,84.5,0,44.25,-25.65,110.11
45.5,85.0,0,45.15,-25.349999999999998,109.868
45.5,85.5,0,45.75,-25.8,109.62599999999999
45.5,86.0,0,46.5,-25.2,109.62599999999999
45.5,86.5,0,46.8,-25.349999999999998,109.62599999999999
46.0,37.0,0,1.5,-6.0,98.494
46.0,37.5,0,1.7999999999999998,-6.3,98.73599999999999
46.0,38.0,0,1.7999999999999998,-6.1499999999999995,98.978
46.0,38.5,0,2.25,-6.0,99.22
46.0,39.0,0,2.85,-6.0,99.22
46.0,39.5,0,2.55,-5.85,100.42999999999999
46.0,40.0,0,2.6999999999999997,-5.7,99.946
46.0,40.5,0,3.0,-5.7,100.42999999999999
46.0,41.0,0,3.15,-5.7,100.672
46.0,41.5,0,3.3,-5.85,101.15599999999999
46.0,42.0,0,3.5999999999999996,-5.85,100.914
46.0,42.5,0,3.5999999999999996,-6.3,101.88199999999999
46.0,43.0,0,3.75,-6.0,101.64
46.0,43.5,0,4.35,-5.85,101.398
46.0,44.0,0,4.35,-6.45,102.124
46.0,44.5,0,4.6499999999999995,-5.85,102.366
46.0,45.0,0,4.6499999999999995,-6.6,101.88199999999999
46.0,45.5,0,4.8,-6.6,101.88199999999999
46.0,46.0,0,4.95,-6.6,103.092
46.0,46.5,0,4.95,-7.05,102.366
46.0,47.0,0,5.25,-7.05,103.092
46.0,47.5,0,5.3999999999999995,-7.199999999999999,103.334
46.0,48.0,0,5.7,-7.199999999999999,103.576
46.0,48.5,0,6.0,-7.8,103.576
46.0,49.0,0,5.85,-7.5,103.334
46.0,49.5,0,6.1499999999999995,-8.1,103.576
46.0,50.0,0,6.45,-8.4,103.818
46.0,50.5,0,6.6,-8.7,103.334
46.0,51.0,0,6.6,-9.0,103.576
46.0,51.5,0,7.35,-9.75,103.818
46.0,52.0,0,7.35,-9.45,103.818
46.0,52.5,0,7.5,-10.049999999999999,104.06
46.0,53.0,0,7.949999999999999,-10.65,104.06
46.0,53.5,0,8.25,-10.2,104.30199999999999
46.0,54.0,0,8.1,-10.95,103.818
46.0,54.5,0,8.25,-11.549999999999999,104.30199999999999
46.0,55.0,0,9.0,-11.549999999999999,104.30199999999999
46.0,55.5,0,9.299999999999999,-12.15,105.27
46.0,56.0,0,9.45,-12.9,105.02799999999999
46.0,56.5,0,9.75,-12.6,104.30199999999999
46.0,57.0,0,10.35,-13.35,104.544
46.0,57.5,0,10.5,-13.5,104.06
46.0,58.0,0,10.95,-14.25,104.544
46.0,58.5,0,11.1,-14.399999999999999,105.02799999999999
46.0,59.0,0,11.549999999999999,-14.7,105.02799999999999
46.0,59.5,0,12.0,-15.299999999999999,104.30199999999999
46.0,60.0,0,12.6,-15.75,104.786
46.0,60.5,0,12.9,-15.899999999999999,105.27
46.0,61.0,0,13.5,-16.5,105.27
46.0,61.5,0,13.5,-17.25,105.512
46.0,62.0,0,14.7,-17.7,105.75399999999999
46.0,62.5,0,14.7,-18.15,105.27
46.0,63.0,0,15.6,-18.45,105.512
46.0,63.5,0,16.349999999999998,-18.45,105.512
46.0,64.0,0,16.8,-18.9,105.996
46.0,64.5,0,17.4,-19.349999999999998,106.238
46.0,65.0,0,18.3,-19.95,106.722
46.0,65.5,0,18.75,-20.55,106.47999999999999
46.0,66.0,0,19.2,-20.4,106.47999999999999
46.0,66.5,0,19.8,-21.0,106.47999999999999
46.0,67.0,0,20.4,-21.0,107.206
46.0,67.5,0,21.15,-21.45,106.238
46.0,68.0,0,21.75,-22.2,107.448
46.0,68.5,0,22.8,-22.05,106.722
46.0,69.0,0,23.4,-21.9,106.964
46.0,69.5,0,24.599999999999998,-22.65,107.448
46.0,70.0,0,24.599999999999998,-23.4,107.69
46.0,70.5,0,25.8,-23.4,107.69
46.0,71.0,0,26.099999999999998,-23.55,108.17399999999999
46.0,71.5,0,27.0,-23.7,108.89999999999999
46.0,72.0,0,27.9,-24.0,108.89999999999999
46.0,72.5,0,28.05,-24.0,108.89999999999999
46.0,73.0,0,28.799999999999997,-24.0,108.89999999999999
46.0,73.5,0,29.7,-24.3,108.658
46.0,74.0,0,30.299999999999997,-24.3,109.142
46.0,74.5,0,30.75,-24.45,109.142
46.0,75.0,0,31.65,-25.05,109.384
46.0,75.5,0,32.25,-24.599999999999998,109.384
46.0,76.0,0,33.3,-25.5,108.416
46.0,76.5,0,33.3,-24.9,109.868
46.0,77.0,0,34.35,-25.5,109.142
46.0,77.5,0,35.25,-25.349999999999998,109.384
46.0,78.0,0,35.4,-25.8,109.142
46.0,78.5,0,36.3,-25.8,109.62599999999999
46.0,79.0,0,37.35,-25.8,110.11
46.0,79.5,0,37.949999999999996,-25.8,110.352
46.0,80.0,0,39.0,-25.65,109.62599999999999
46.0,80.5,0,38.699999999999996,-25.65,109.868
46.0,81.0,0,39.75,-26.099999999999998,109.142
46.0,81.5,0,40.35,-26.099999999999998,109.62599999999999
46.0,82.0,0,40.949999999999996,-25.8,110.11
46.0,82.5,0,41.55,-26.25,109.62599999999999
46.0,83.0,0,42.449999999999996,-26.25,109.868
46.0,83.5,0,43.199999999999996,-25.95,108.89999999999999
46.0,84.0,0,43.35,-25.65,109.62599999999999
46.0,84.5,0,44.1,-25.8,108.89999999999999
46.0,85.0,0,45.0,-25.65,108.416
46.0,85.5,0,45.75,-25.8,108.416
46.0,86.0,0,45.9,-25.349999999999998,108.89999999999999
46.0,86.5,0,46.8,-25.5,108.658
46.5,37.0,0,1.3499999999999999,-6.0,97.768
46.5,37.5,0,1.2,-6.0,98.00999999999999
46.5,38.0,0,1.3499999999999999,-6.0,98.494
46.5,38.5,0,1.95,-5.85,98.494
46.5,39.0,0,1.65,-6.0,99.22
46.5,39.5,0,2.4,-5.7,99.22
46.5,40.0,0,2.25,-5.7,99.22
46.5,40.5,0,2.85,-5.55,100.188
46.5,41.0,0,2.6999999999999997,-5.55,99.704
46.5,41.5,0,3.15,-5.7,100.188
46.5,42.0,0,3.5999999999999996,-5.7,100.188
46.5,42.5,0,3.4499999999999997,-5.7,100.672
46.5,43.0,0,3.75,-6.3,100.914
46.5,43.5,0,3.75,-5.85,100.672
46.5,44.0,0,4.05,-5.55,101.15599999999999
46.5,44.5,0,4.2,-6.3,101.64
46.5,45.0,0,4.2,-6.1499999999999995,101.88199999999999
46.5,45.5,0,4.35,-6.45,101.398
46.5,46.0,0,4.8,-6.6,101.64
46.5,46.5,0,4.6499999999999995,-6.75,102.366
46.5,47.0,0,4.95,-7.05,102.366
46.5,47.5,0,5.3999999999999995,-7.05,102.366
46.5,48.0,0,5.3999999999999995,-6.8999999999999995,102.124
46.5,48.5,0,5.1,-7.35,102.608
46.5,49.0,0,5.55,-7.6499999999999995,102.608
46.5,49.5,0,5.55,-7.6499999999999995,102.366
46.5,50.0,0,6.0,-8.4,102.608
46.5,50.5,0,6.3,-8.1,102.124
46.5,51.0,0,6.45,-8.85,103.092
46.5,51.5,0,6.6,-8.85,102.85
46.5,52.0,0,6.6,-9.45,103.092
46.5,52.5,0,7.05,-9.75,102.608
46.5,53.0,0,7.35,-10.2,102.608
46.5,53.5,0,7.199999999999999,-10.799999999999999,103.334
46.5,54.0,0,7.949999999999999,-11.1,103.334
46.5,54.5,0,7.8,-11.25,103.334
46.5,55.0,0,8.1,-11.7,102.366
46.5,55.5,0,8.4,-11.7,103.092
46.5,56.0,0,8.7,-12.6,103.334
46.5,56.5,0,9.0,-12.9,103.334
46.5,57.0,0,9.75,-13.5,103.334
46.5,57.5,0,9.75,-13.95,103.818
46.5,58.0,0,9.9,-14.399999999999999,103.818
46.5,58.5,0,10.799999999999999,-14.549999999999999,103.576
46.5,59.0,0,10.95,-15.0,103.334
46.5,59.5,0,11.549999999999999,-15.45,103.334
46.5,60.0,0,11.7,-16.2,104.06
46.5,60.5,0,12.45,-16.349999999999998,103.334
46.5,61.0,0,12.6,-16.8,103.818
46.5,61.5,0,13.2,-17.55,104.30199999999999
46.5,62.0,0,13.95,-17.7,104.30199999999999
46.5,62.5,0,14.25,-18.15,104.544
46.5,63.0,0,15.299999999999999,-18.45,105.27
46.5,63.5,0,15.45,-18.75,104.06
46.5,64.0,0,15.899999999999999,-19.5,104.544
46.5,64.5,0,17.099999999999998,-19.65,105.27
46.5,65.0,0,17.099999999999998,-20.25,104.544
46.5,65.5,0,18.15,-20.4,105.512
46.5,66.0,0,18.9,-20.849999999999998,105.512
46.5,66.5,0,19.349999999999998,-21.15,105.512
46.5,67.0,0,20.099999999999998,-21.75,105.75399999999999
46.5,67.5,0,20.4,-21.9,105.996
46.5,68.0,0,21.599999999999998,-22.2,106.238
46.5,68.5,0,22.05,-22.5,106.47999999999999
46.5,69.0,0,22.65,-22.8,106.964
46.5,69.5,0,23.4,-22.95,106.238
46.5,70.0,0,24.599999999999998,-23.25,107.206
46.5,70.5,0,25.05,-23.4,106.722
46.5,71.0,0,25.95,-23.7,107.206
46.5,71.5,0,26.25,-23.7,107.448
