xm,ym,zm,distance,B
-41.4,29.7,-13.068,23.06308187,84.168
-42.3,29.4,-12.584,22.9259664,84.284
-42.3,30.15,-13.31,22.78883559,85.76
-42.75,30.3,-13.068,22.65168952,86.118
-43.05,30,-14.036,22.51452826,87.086
-43.2,30.75,-14.036,22.3773519,87.986
-43.8,30.9,-14.52,22.24016052,89.22
-43.95,30.45,-14.762,22.10295419,89.162
-44.4,31.35,-15.246,21.965733,90.996
-44.55,31.65,-16.214,21.82849701,92.414
-45.45,31.65,-16.94,21.69124631,94.04
-45.6,31.95,-16.94,21.55398098,94.49
-46.05,32.4,-16.94,21.41670108,95.39
-46.35,32.55,-17.666,21.27940669,96.566
-47.25,32.7,-18.15,21.1420979,98.1
-47.55,33.45,-18.392,21.00477477,99.392
-47.85,33.75,-19.118,20.86743737,100.718
-48.6,34.5,-20.086,20.73008579,103.186
-48.6,34.5,-21.296,20.59272008,104.396
-49.2,35.25,-21.296,20.45534034,105.746
-50.25,35.25,-21.296,20.31794662,106.796
-50.55,36,-22.022,20.18053899,108.572
-51.3,36,-22.99,20.04311754,110.29
-51.9,36.45,-23.474,19.90568232,111.824
-52.8,36.9,-24.684,19.76823342,114.384
-52.95,37.5,-25.41,19.63077089,115.86
-53.85,37.5,-25.652,19.49329481,117.002
-54.45,38.4,-27.104,19.35580525,119.954
-55.35,39,-27.346,19.21830227,121.696
-56.4,39.3,-27.83,19.08078594,123.53
-57.3,40.2,-28.798,18.94325633,126.298
-57.6,40.35,-29.766,18.80571351,127.716
-58.5,41.1,-30.492,18.66815753,130.092
-59.25,41.55,-30.976,18.53058848,131.776
-60.3,42.45,-32.186,18.39300641,134.936
-61.5,43.5,-33.396,18.25541138,138.396
-62.4,43.65,-33.88,18.11780347,139.93
-63.6,44.4,-34.848,17.98018274,142.848
-64.65,44.85,-35.816,17.84254924,145.316
-65.25,45.75,-36.784,17.70490305,147.784
-66.45,46.95,-37.752,17.56724423,151.152
-67.8,47.4,-38.478,17.42957283,153.678
-69.15,48,-40.172,17.29188892,157.322
-70.5,48.9,-41.14,17.15419257,160.54
-71.4,50.1,-42.592,17.01648383,164.092
-73.2,51,-43.076,16.87876277,167.276
